code,name
ARTS 3315,"The Art of Tinkering: Creating at the intersection of Art, Science and Technology"
ARTS 3340,Topics in Studio Art
ARTS 3341,Chinese Calligraphy
ARTS 3363,"Typography, Technology, Image"
ARTS 3364,Silkscreen Printmaking
ARTS 3366,Intermediate Drawing
ARTS 3367,Figure Drawing
ARTS 3368,Mixed Media
ARTS 3369,Intermediate Painting
ARTS 3371,Photography: Black/White
ARTS 3372,Photography: Color Concepts
ARTS 3373,Printmaking
ARTS 3375,Sculpture
ARTS 3376,Time-Based Art
ARTS 3377,Photography: Altered Image
ARTS 3378,Figure Sculpture
ARTS 3379,Photography: New Media
ARTS 3381,Video Painting
ARTS 3382,Color as Subject
ARTS 4305,The Art of Graphic Design
ARTS 4308,Image/Text
ARTS 4310,Studies in Contemporary Exhibitions
ARTS 4366,Advanced Drawing
ARTS 4368,Advanced Visual Arts
ARTS 4369,Advanced Painting
ARTS 4372,Advanced Photography
ARTS 4V71,Independent Study in Visual Arts
ATCM 1100,First Year Seminar
ATCM 2300,Introduction to TechnoCulture
ATCM 2301,Computer Imaging
ATCM 2302,Design I
ATCM 2303,"Project Management for Arts, Technology, and Emerging Communication I"
ATCM 2310,Animation and Game Fundamentals
ATCM 2315,Animation Origins and Techniques
ATCM 2320,Critical Media Research Foundations
ATCM 2321,Reading Media Critically
ATCM 2322,Media Histories
ATCM 2330,Digital Art and Social Practice
ATCM 2335,Internet Studio I
ATCM 2340,Visual Communication
ATCM 2343,Emerging Media Art Histories
ATCM 2345,Principles of Digital Audio
ATCM 2350,Time-Based Media
ATCM 2355,Survey of Digital Fabrication
ATCM 2360,Design Histories
ATCM 2375,History of Games
ATCM 2380,Introduction to Emerging Communication
ATCM 3300,Code Plus Culture
ATCM 3301,Writing for ATEC
ATCM 3303,"Project Management for Arts, Technology, and Emerging Communication II"
ATCM 3304,Character Design
ATCM 3305,Computer Animation I
ATCM 3306,Modeling and Texturing I
ATCM 3307,Lighting and Composition I
ATCM 3308,Rigging I
ATCM 3309,Visual Story I
ATCM 3310,Procedural Animation
ATCM 3311,Scripting for Animation
ATCM 3312,Surfacing and Shading I
ATCM 3313,2D Animation
ATCM 3315,Animation Studies
ATCM 3320,Critical Media Theories
ATCM 3321,Networked Identities
ATCM 3323,Reading in a Networked Era
ATCM 3325,Global Media Cultures
ATCM 3330,Digital Art and Social Practice
ATCM 3331,Critical Making
ATCM 3335,Internet Studio II
ATCM 3336,Design Research Methods
ATCM 3337,Interaction Design I
ATCM 3338,Motion Graphics I
ATCM 3340,Design II
ATCM 3345,Audio Technologies
ATCM 3346,Audio Productions Lab I
ATCM 3350,Digital Video Production I
ATCM 3355,Computer Modeling for Digital Fabrication
ATCM 3356,Projection Mapping Lab
ATCM 3357,Digital Fabrication Lab I
ATCM 3365,Game Design I
ATCM 3366,Game Studies I
ATCM 3367,Level Design I
ATCM 3368,Scripting for Games I
ATCM 3369,Games and Narrative I
ATCM 3370,Virtual Environments I
ATCM 3371,User Experience Design for Games
ATCM 3372,Sound Design for Games
ATCM 3375,Game Systems Design
ATCM 3380,Media Psychology
ATCM 3381,Media and Communication Research Methods
ATCM 3382,Communicating Research
ATCM 3385,Social Networks
ATCM 3388,Attitudes and Behaviors
ATCM 3395,"Topics in Arts, Technology, and Emerging Communication"
ATCM 4304,World Building
ATCM 4305,Computer Animation II
ATCM 4306,Modeling and Texturing II
ATCM 4307,Lighting and Composition II
ATCM 4308,Rigging II
ATCM 4309,Pre-Production Design II
ATCM 4310,Motion Capture Animation
ATCM 4311,Experimental Lab
ATCM 4312,Digital Sculpting
ATCM 4313,Visual Effects
ATCM 4314,Character Effects
ATCM 4315,Computer Animation III
ATCM 4316,Animation Lab I
ATCM 4317,Animation Lab II
ATCM 4318,Motion Capture Lab
ATCM 4319,Topics in Animation
ATCM 4320,Political Economy of Digital Media
ATCM 4322,"Disability, Technology, and Media"
ATCM 4323,"Feminism, Technology, and Media"
ATCM 4325,"Race, Technology, and Media"
ATCM 4326,Mediated Textuality
ATCM 4327,Privacy and Surveillance
ATCM 4330,Culture Jamming
ATCM 4332,Critical Media Studies Lab I
ATCM 4333,Critical Media Studies Lab II
ATCM 4334,Topics in Critical Media Studies
ATCM 4337,Interaction Design II
ATCM 4338,Motion Graphics II
ATCM 4340,Strategic Design
ATCM 4345,Digital Audio Processing
ATCM 4346,Audio Productions Lab II
ATCM 4350,Digital Video Production II
ATCM 4357,Digital Fabrication Lab II
ATCM 4364,Topics in Design and Production
ATCM 4365,Game Design II
ATCM 4366,Game Studies II
ATCM 4367,Level Design II
ATCM 4368,Scripting for Games II
ATCM 4370,Virtual Environments II
ATCM 4373,Animation for Games
ATCM 4374,Interactives Lab
ATCM 4375,Game Design III
ATCM 4376,Game Production Lab I
ATCM 4377,Game Production Lab II
ATCM 4379,Topics in Games
ATCM 4380,"Communication, Media, and Information Technology"
ATCM 4384,"Ethics in New Media, Technology, and Communication"
ATCM 4385,Children and Media
ATCM 4386,Journalism in the Networked Age
ATCM 4388,Political Communication
ATCM 4395,"Advanced Topics in Arts, Technology, and Emerging Media"
ATCM 4397,Senior Seminar
ATCM 4398,Capstone Project
ATCM 4399,"Senior Honors in Arts, Technology, and Emerging Communication"
ATCM 4V96,"Independent Study in Arts, Technology, and Emerging Communication"
BA 1100,Business Basics
BA 1310,Making Choices in Free Market Systems
BA 1320,Business in a Global World
BA 3100,Professional Development
BA 3200,Introduction to Business and Professional Development
BA 3300,Advanced Topics in Capitalism: Ideas and Challenges That Shape Our World
BA 4010,ENACTUS Participation
BA 4070,Conference Attendance US
BA 4071,Conference Attendance International
BA 4072,Conference Presentation US
BA 4073,Conference Presentation International
BA 4074,Student Leadership and Mentoring
BA 4080,Participation in Internal Competition
BA 4081,Participation in Local Competition
BA 4082,Participation in Regional Competition
BA 4083,Participation in National Competition
BA 4090,Management Internship
BA 4095,Social Sector Engagement and Community Outreach Practicum
BA 4101,Careers in Management
BA 4V00,Special Topics
BA 4V10,ENACTUS Service
BA 4V90,Management Internship
BBSU 1100,First Year Seminar
BBSU 3310,Community-Based Service Learning
BCOM 1300,Introduction to Professionalism and Communication in Business
BCOM 3100,Professional Development
BCOM 3200,Introduction to Business and Professional Development
BCOM 3300,Professionalism and Communication in Business
BCOM 3310,Business Communication
BCOM 4300,Managing Communications in Business
BCOM 4310,Strategic Business Communications
BCOM 4350,Advanced Business Communication
BIOL 1300,Body Systems with Lab
BIOL 1318,Human Genetics
BIOL 1350,Body Systems
BIOL 1V00,Topics in Biological Sciences
BIOL 1V01,Topics in Biological Sciences with Lab
BIOL 1V95,Individual Instruction in Biology
BIOL 2111,Introduction to Modern Biology Workshop I
BIOL 2112,Introduction to Modern Biology Workshop II
BIOL 2281,Introductory Biology Laboratory
BIOL 2311,Introduction to Modern Biology I
BIOL 2312,Introduction to Modern Biology II
BIOL 2350,Biological Basis of Health and Disease
BIOL 2V00,Topics in Biological Sciences
BIOL 2V01,Topics in Biological Sciences with Lab
BIOL 2V95,Individual Instruction in Biology
BIOL 3101,Classical and Molecular Genetics Workshop
BIOL 3102,Eukaryotic Molecular and Cell Biology Workshop
BIOL 3161,Biochemistry Workshop I
BIOL 3162,Biochemistry Workshop II
BIOL 3301,Classical and Molecular Genetics
BIOL 3302,Eukaryotic Molecular and Cell Biology
BIOL 3303,Introduction to Microbiology
BIOL 3305,Evolutionary Analysis
BIOL 3312,Introduction to Programming for Biological Sciences
