code,name,prefix
PSY 4365,Psychology of Music,PSY
PSY 4364,Attention and Memory,PSY
PSY 4362,Perception,PSY
PSY 4359,Cognitive Neuroscience,PSY
PSY 4352,Emerging Adulthood Development,PSY
PSY 4347,Marriage and Family Psychology,PSY
PSY 4346,Human Sexuality,PSY
PSY 4345,Violence in the Family,PSY
PSY 4344,Child Psychopathology,PSY
PSY 4343,Abnormal Psychology,PSY
PSY 4333,Human Relations,PSY
PSY 4332,Psychology in the Workplace,PSY
PSY 3356,The Creative Process,PSY
PSY 3333,Approaches to Clinical Psychology,PSY
ACTS 4301,Long Term Actuarial Mathematics I,ACTS
ACTS 4302,Investment and Financial Markets I,ACTS
ACTS 4303,Long Term Actuarial Mathematics II,ACTS
ACTS 4304,Short Term Actuarial Mathematics I,ACTS
ACTS 4305,Short Term Actuarial Mathematics II,ACTS
ACTS 4306,Actuarial Probability as Problem Solving,ACTS
ACTS 4307,Statistics for Risk Modeling,ACTS
ACTS 4308,Actuarial Financial Mathematics,ACTS
ACTS 4309,Investment and Financial Markets II,ACTS
AHST 1303,Survey of Western Art History: Ancient to Medieval,AHST
AHST 1304,Survey of Western Art History: Renaissance to Modern,AHST
AHST 2331,Understanding Art,AHST
AHST 2V71,Independent Study in Art History,AHST
AHST 3313,Medieval Art and Architecture,AHST
AHST 3315,Renaissance Art and Architecture,AHST
AHST 3316,Baroque Art and Architecture,AHST
AHST 3317,Pioneers of Modern Art,AHST
AHST 3318,Contemporary Art,AHST
AHST 3319,Twentieth Century European Art: Avant-Garde and Aftermath,AHST
AHST 3320,Art in Historical Context,AHST
AHST 3321,Chinese Art History,AHST
AHST 3322,Modern Architecture,AHST
AHST 3324,History of Photography,AHST
AHST 4342,Topics in Art History,AHST
AHST 4V71,Independent Study in Art History,AHST
AMS 2300,American Popular Culture,AMS
AMS 2311,Social Change and Photography in America,AMS
AMS 2341,American Studies for the Twenty-First Century,AMS
AMS 2390,Topics in American Studies,AMS
AMS 3302,American Cultures,AMS
AMS 3316,Interpersonal Communication,AMS
AMS 3322,American Ethnic Experience: Immigrants After 1945,AMS
AMS 3327,"American Studies: Histories, Theories, Methodologies",AMS
AMS 3350,Crisis Communication,AMS
AMS 3374,Entrepreneurs in America,AMS
AMS 4300,Oral and Written Communication for the Classroom,AMS
AMS 4304,Communication in America,AMS
AMS 4305,World History for Teachers,AMS
AMS 4324,Motherhood and the Technological Womb,AMS
AMS 4327,The Culture of Bullying in America,AMS
AMS 4360,Rebels and Reformers: Women and Alcohol in America,AMS
AMS 4379,Special Topics in American Studies,AMS
AMS 4381,Senior Honors in American Studies,AMS
AMS 4385,Professional Communications in Business,AMS
AMS 4V80,Independent Study,AMS
ARAB 1311,Beginning Arabic I,ARAB
ARAB 1312,Beginning Arabic II,ARAB
ARAB 2311,Intermediate Arabic I,ARAB
ARAB 2312,Intermediate Arabic II,ARAB
ARHM 1100,First Year Seminar,ARHM
ARHM 2340,Creativity,ARHM
ARHM 2342,Connections in the Arts and Humanities,ARHM
ARHM 2343,Science and the Humanities,ARHM
ARHM 2344,World Cultures,ARHM
ARHM 2V71,Independent Study in the Arts and Humanities,ARHM
ARHM 3100,Topics in Values and Science,ARHM
